Sposób prezentacji;Rok;Miesiąc;Wartość
Poprzedni miesiąc = 100;2023;1;102,5
Poprzedni miesiąc = 100;2023;2;101,2
Poprzedni miesiąc = 100;2023;3;101,1
Poprzedni miesiąc = 100;2023;4;100,7
Poprzedni miesiąc = 100;2023;5;100,0
Poprzedni miesiąc = 100;2023;6;100,0
Poprzedni miesiąc = 100;2023;7;99,8
Poprzedni miesiąc = 100;2023;8;100,0
Poprzedni miesiąc = 100;2023;9;
Poprzedni miesiąc = 100;2023;10;
Poprzedni miesiąc = 100;2023;11;
Poprzedni miesiąc = 100;2023;12;
Analogiczny miesiąc poprzedniego roku = 100;2023;1;116,6
Analogiczny miesiąc poprzedniego roku = 100;2023;2;118,4
Analogiczny miesiąc poprzedniego roku = 100;2023;3;116,1
Analogiczny miesiąc poprzedniego roku = 100;2023;4;114,7
Analogiczny miesiąc poprzedniego roku = 100;2023;5;113,0
Analogiczny miesiąc poprzedniego roku = 100;2023;6;111,5
Analogiczny miesiąc poprzedniego roku = 100;2023;7;110,8
Analogiczny miesiąc poprzedniego roku = 100;2023;8;110,1
Analogiczny miesiąc poprzedniego roku = 100;2023;9;
Analogiczny miesiąc poprzedniego roku = 100;2023;10;
Analogiczny miesiąc poprzedniego roku = 100;2023;11;
Analogiczny miesiąc poprzedniego roku = 100;2023;12;
Rok poprzedni = 100;2023;1;108,6
Rok poprzedni = 100;2023;2;109,9
Rok poprzedni = 100;2023;3;111,2
Rok poprzedni = 100;2023;4;111,9
Rok poprzedni = 100;2023;5;112,0
Rok poprzedni = 100;2023;6;112,0
Rok poprzedni = 100;2023;7;111,7
Rok poprzedni = 100;2023;8;111,8
Rok poprzedni = 100;2023;9;
Rok poprzedni = 100;2023;10;
Rok poprzedni = 100;2023;11;
Rok poprzedni = 100;2023;12;
Poprzedni miesiąc = 100;2022;1;101,9
Poprzedni miesiąc = 100;2022;2;99,7
Poprzedni miesiąc = 100;2022;3;103,3
Poprzedni miesiąc = 100;2022;4;102,0
Poprzedni miesiąc = 100;2022;5;101,7
Poprzedni miesiąc = 100;2022;6;101,5
Poprzedni miesiąc = 100;2022;7;100,5
Poprzedni miesiąc = 100;2022;8;100,8
Poprzedni miesiąc = 100;2022;9;101,6
Poprzedni miesiąc = 100;2022;10;101,8
Poprzedni miesiąc = 100;2022;11;100,7
Poprzedni miesiąc = 100;2022;12;100,1
Analogiczny miesiąc poprzedniego roku = 100;2022;1;109,4
Analogiczny miesiąc poprzedniego roku = 100;2022;2;108,5
Analogiczny miesiąc poprzedniego roku = 100;2022;3;111,0
Analogiczny miesiąc poprzedniego roku = 100;2022;4;112,4
Analogiczny miesiąc poprzedniego roku = 100;2022;5;113,9
Analogiczny miesiąc poprzedniego roku = 100;2022;6;115,5
Analogiczny miesiąc poprzedniego roku = 100;2022;7;115,6
Analogiczny miesiąc poprzedniego roku = 100;2022;8;116,1
Analogiczny miesiąc poprzedniego roku = 100;2022;9;117,2
Analogiczny miesiąc poprzedniego roku = 100;2022;10;117,9
Analogiczny miesiąc poprzedniego roku = 100;2022;11;117,5
Analogiczny miesiąc poprzedniego roku = 100;2022;12;116,6
Rok poprzedni = 100;2022;1;106,0
Rok poprzedni = 100;2022;2;105,6
Rok poprzedni = 100;2022;3;109,1
Rok poprzedni = 100;2022;4;111,3
Rok poprzedni = 100;2022;5;113,1
Rok poprzedni = 100;2022;6;114,8
Rok poprzedni = 100;2022;7;115,4
Rok poprzedni = 100;2022;8;116,3
Rok poprzedni = 100;2022;9;118,1
Rok poprzedni = 100;2022;10;120,2
Rok poprzedni = 100;2022;11;121,1
Rok poprzedni = 100;2022;12;121,2
Poprzedni miesiąc = 100;2021;1;101,3
Poprzedni miesiąc = 100;2021;2;100,5
Poprzedni miesiąc = 100;2021;3;101,0
Poprzedni miesiąc = 100;2021;4;100,8
Poprzedni miesiąc = 100;2021;5;100,3
Poprzedni miesiąc = 100;2021;6;100,1
Poprzedni miesiąc = 100;2021;7;100,4
Poprzedni miesiąc = 100;2021;8;100,3
Poprzedni miesiąc = 100;2021;9;100,7
Poprzedni miesiąc = 100;2021;10;101,1
Poprzedni miesiąc = 100;2021;11;101,0
Poprzedni miesiąc = 100;2021;12;100,9
Analogiczny miesiąc poprzedniego roku = 100;2021;1;102,6
Analogiczny miesiąc poprzedniego roku = 100;2021;2;102,4
Analogiczny miesiąc poprzedniego roku = 100;2021;3;103,2
Analogiczny miesiąc poprzedniego roku = 100;2021;4;104,3
Analogiczny miesiąc poprzedniego roku = 100;2021;5;104,7
Analogiczny miesiąc poprzedniego roku = 100;2021;6;104,4
Analogiczny miesiąc poprzedniego roku = 100;2021;7;105,0
Analogiczny miesiąc poprzedniego roku = 100;2021;8;105,5
Analogiczny miesiąc poprzedniego roku = 100;2021;9;105,9
Analogiczny miesiąc poprzedniego roku = 100;2021;10;106,8
Analogiczny miesiąc poprzedniego roku = 100;2021;11;107,8
Analogiczny miesiąc poprzedniego roku = 100;2021;12;108,6
Rok poprzedni = 100;2021;1;101,8
Rok poprzedni = 100;2021;2;102,3
Rok poprzedni = 100;2021;3;103,3
Rok poprzedni = 100;2021;4;104,1
Rok poprzedni = 100;2021;5;104,4
Rok poprzedni = 100;2021;6;104,5
Rok poprzedni = 100;2021;7;105,0
Rok poprzedni = 100;2021;8;105,3
Rok poprzedni = 100;2021;9;106,0
Rok poprzedni = 100;2021;10;107,1
Rok poprzedni = 100;2021;11;108,2
Rok poprzedni = 100;2021;12;109,2
